id,title,text_content,category,year,venue,authors,word_count
a001,GPT-4 技术能力评测与分析,大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证 以 Transformer 为代表的技术路线被广泛采用。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。,大语言模型,2020,NeurIPS,Google DeepMind,232
a002,GPT-4 技术能力评测与分析,自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及 以 GPT-4 为代表的技术路线被广泛采用。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。,大语言模型,2021,ICML,Meta AI,226
a003,GPT-4 技术能力评测与分析,GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性 以 RLHF 为代表的技术路线被广泛采用。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。,大语言模型,2022,ACL,百度,216
a004,大语言模型预训练范式综述,强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量 以 GPT-4 为代表的技术路线被广泛采用。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。,大语言模型,2021,ICML,阿里达摩院,199
a005,大语言模型预训练范式综述,稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力 以 RLHF 为代表的技术路线被广泛采用。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。,大语言模型,2022,ACL,腾讯 AI Lab,217
a006,大语言模型预训练范式综述,大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证 以 MoE 为代表的技术路线被广泛采用。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。,大语言模型,2023,技术博客,智谱 AI,224
a007,基于人类反馈的强化学习对齐方法,自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及 以 RLHF 为代表的技术路线被广泛采用。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。,大语言模型,2022,ACL,清华大学,225
a008,基于人类反馈的强化学习对齐方法,GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性 以 MoE 为代表的技术路线被广泛采用。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。,大语言模型,2023,技术博客,MIT,215
a009,基于人类反馈的强化学习对齐方法,强化学习人类反馈（RLHF）是使模型输出对齐人类意图的关键技术，显著提升了回答的有用性与安全性。稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量 以 ChatGLM 为代表的技术路线被广泛采用。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。,大语言模型,2024,学术综述,斯坦福大学,201
a010,稀疏混合专家模型的训练与实践,稀疏激活的混合专家（MoE）架构在不显著增加推理开销的前提下扩大了模型参数容量。大语言模型（LLM）通过在海量语料上的自监督预训练获得通用的语言理解与生成能力 以 MoE 为代表的技术路线被广泛采用。自 Transformer 架构提出以来，模型规模从亿级扩展到千亿、万亿级，规模法则持续得到验证。GPT-4、Claude、Gemini 等闭源模型在推理与多步任务上表现领先，Llama、ChatGLM 等开源模型推动了技术的普及。,大语言模型,2023,技术博客,Anthropic,216
