id,title,text_content,category,word_count,year,authors,venue
paper_zh_0001,因果推断在推荐系统中的应用（扩展研究 29）,因果推断在推荐系统中的应用。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,图机器学习,5567,2022,陈晨 等,ACL 中文研讨会
paper_zh_0002,代码生成与大语言模型（扩展研究 34）,代码生成与大语言模型。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,计算机视觉,17461,2022,张伟 等,AAAI
paper_zh_0003,时间序列异常检测方法对比（扩展研究 32）,时间序列异常检测方法对比。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,机器学习,11850,2024,赵磊 等,中国计算机大会
paper_zh_0004,大语言模型知识图谱构建综述（扩展研究 29）,大语言模型知识图谱构建综述。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,自然语言处理,5258,2022,郑宇 等,人工智能学报
paper_zh_0005,代码生成与大语言模型（扩展研究 10）,代码生成与大语言模型。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,自然语言处理,5781,2023,吴昊 等,自然语言处理前沿
paper_zh_0006,中文文本分类与情感分析综述（扩展研究 23）,中文文本分类与情感分析综述。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,数据系统,17165,2022,周涛 等,中国计算机大会
paper_zh_0007,联邦学习隐私保护技术（扩展研究 17）,联邦学习隐私保护技术。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,计算机视觉,17670,2022,张伟 等,AAAI
paper_zh_0008,向量数据库技术选型与实践（扩展研究 41）,向量数据库技术选型与实践。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,自然语言处理,6068,2023,陈晨 等,ACL 中文研讨会
paper_zh_0009,检索增强生成企业智能客服应用（扩展研究 28）,检索增强生成企业智能客服应用。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,机器学习,10962,2023,赵磊 等,NeurIPS
paper_zh_0010,检索增强生成企业智能客服应用（扩展研究 16）,检索增强生成企业智能客服应用。本研究在更大规模数据集上进行了额外实验验证，提供了理论分析补充。系统性评估了方法在不同场景下的适用性和局限性。,机器学习,7297,2023,李明 等,NeurIPS
