id,title,text_content,category,word_count,year,authors,venue
paper_0001,Attention Is All You Need — Extended Study 27,Attention Is All You Need. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,3026,2024,"Kaplan, J. et al.",ICLR
paper_0002,FlashAttention: Fast and Memory-Efficient Exact Attention — Extended Study 63,FlashAttention: Fast and Memory-Efficient Exact Attention. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,3757,2021,"Bai, Y. et al.",Nature
paper_0003,LoRA: Low-Rank Adaptation of Large Language Models — Extended Study 15,LoRA: Low-Rank Adaptation of Large Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,11904,2022,"Dao, T. et al.",EMNLP
paper_0004,ImageNet Classification with Deep Convolutional Neural Networks — Extended Study 79,ImageNet Classification with Deep Convolutional Neural Networks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Computer Vision,9114,2021,"Radford, A. et al.",EMNLP
paper_0005,ImageNet Classification with Deep Convolutional Neural Networks — Extended Study 10,ImageNet Classification with Deep Convolutional Neural Networks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,13428,2024,"Tan, M. et al.",ICML
paper_0006,GPT-4 Technical Report — Extended Study 7,GPT-4 Technical Report. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,7619,2024,"Wei, J. et al.",NeurIPS
paper_0007,BERT: Pre-training of Deep Bidirectional Transformers — Extended Study 66,BERT: Pre-training of Deep Bidirectional Transformers. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,9388,2022,"Devlin, J. et al.",CVPR
paper_0008,LoRA: Low-Rank Adaptation of Large Language Models — Extended Study 40,LoRA: Low-Rank Adaptation of Large Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Computer Vision,13720,2023,"Kaplan, J. et al.",ICLR
paper_0009,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks — Extended Study 40,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,4788,2021,"Kaplan, J. et al.",NeurIPS
paper_0010,ImageNet Classification with Deep Convolutional Neural Networks — Extended Study 89,ImageNet Classification with Deep Convolutional Neural Networks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Reinforcement Learning,6779,2021,"Kaplan, J. et al.",JMLR
paper_0011,Scaling Laws for Neural Language Models — Extended Study 74,Scaling Laws for Neural Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,3543,2024,"Vaswani, A. et al.",CVPR
paper_0012,GPT-4 Technical Report — Extended Study 45,GPT-4 Technical Report. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,13846,2021,"Vig, J. et al.",KDD
paper_0013,BERT: Pre-training of Deep Bidirectional Transformers — Extended Study 72,BERT: Pre-training of Deep Bidirectional Transformers. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Machine Learning,4132,2023,"Wei, J. et al.",VLDB
paper_0014,Denoising Diffusion Probabilistic Models — Extended Study 52,Denoising Diffusion Probabilistic Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,NLP,11926,2022,"Ouyang, L. et al.",EMNLP
paper_0015,Attention Is All You Need — Extended Study 61,Attention Is All You Need. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,7542,2022,"Ho, J. et al.",AAAI
paper_0016,BERT: Pre-training of Deep Bidirectional Transformers — Extended Study 78,BERT: Pre-training of Deep Bidirectional Transformers. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Data Systems,7079,2024,"He, K. et al.",JMLR
paper_0017,GPT-4 Technical Report — Extended Study 53,GPT-4 Technical Report. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Reinforcement Learning,3056,2022,"Tan, M. et al.",ICML
paper_0018,Batch Normalization: Accelerating Deep Network Training — Extended Study 96,Batch Normalization: Accelerating Deep Network Training. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,3410,2024,"Krizhevsky, A. et al.",JMLR
paper_0019,Adam: A Method for Stochastic Optimization — Extended Study 3,Adam: A Method for Stochastic Optimization. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,5319,2022,"Hu, E. et al.",JMLR
paper_0020,Adam: A Method for Stochastic Optimization — Extended Study 31,Adam: A Method for Stochastic Optimization. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Reinforcement Learning,11249,2023,"Hu, E. et al.",Nature
paper_0021,Attention Is All You Need — Extended Study 54,Attention Is All You Need. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,NLP,8932,2024,"Lewis, P. et al.",JMLR
paper_0022,Constitutional AI: Harmlessness from AI Feedback — Extended Study 12,Constitutional AI: Harmlessness from AI Feedback. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Reinforcement Learning,10864,2023,"LeCun, Y. et al.",ICLR
paper_0023,Batch Normalization: Accelerating Deep Network Training — Extended Study 29,Batch Normalization: Accelerating Deep Network Training. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,14309,2023,"Ho, J. et al.",NeurIPS
paper_0024,ImageNet Classification with Deep Convolutional Neural Networks — Extended Study 12,ImageNet Classification with Deep Convolutional Neural Networks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Computer Vision,7984,2021,"Brown, T. et al.",ACL
paper_0025,Denoising Diffusion Probabilistic Models — Extended Study 13,Denoising Diffusion Probabilistic Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Data Systems,12361,2023,"Krizhevsky, A. et al.",SIGMOD
paper_0026,Batch Normalization: Accelerating Deep Network Training — Extended Study 76,Batch Normalization: Accelerating Deep Network Training. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,3195,2022,"LeCun, Y. et al.",JMLR
paper_0027,BERT: Pre-training of Deep Bidirectional Transformers — Extended Study 65,BERT: Pre-training of Deep Bidirectional Transformers. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,11076,2021,"Radford, A. et al.",Science
paper_0028,Denoising Diffusion Probabilistic Models — Extended Study 6,Denoising Diffusion Probabilistic Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Machine Learning,8659,2024,"Chen, M. et al.",KDD
paper_0029,FlashAttention: Fast and Memory-Efficient Exact Attention — Extended Study 75,FlashAttention: Fast and Memory-Efficient Exact Attention. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Machine Learning,7971,2021,"He, K. et al.",ICLR
paper_0030,Attention Is All You Need — Extended Study 44,Attention Is All You Need. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,4527,2024,"Kingma, D. et al.",SIGMOD
paper_0031,Scaling Laws for Neural Language Models — Extended Study 83,Scaling Laws for Neural Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Data Systems,13341,2023,"Hu, E. et al.",CVPR
paper_0032,LoRA: Low-Rank Adaptation of Large Language Models — Extended Study 73,LoRA: Low-Rank Adaptation of Large Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,7241,2021,"Wei, J. et al.",KDD
paper_0033,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks — Extended Study 61,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,13931,2024,"Devlin, J. et al.",NeurIPS
paper_0034,Deep Residual Learning for Image Recognition — Extended Study 30,Deep Residual Learning for Image Recognition. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Optimization,8081,2023,"Ouyang, L. et al.",JMLR
paper_0035,Gradient-Based Learning Applied to Document Recognition — Extended Study 83,Gradient-Based Learning Applied to Document Recognition. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,13949,2022,"Brown, T. et al.",Nature
paper_0036,Scaling Laws for Neural Language Models — Extended Study 32,Scaling Laws for Neural Language Models. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,3730,2022,"Lewis, P. et al.",ACL
paper_0037,Batch Normalization: Accelerating Deep Network Training — Extended Study 55,Batch Normalization: Accelerating Deep Network Training. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,14838,2024,"LeCun, Y. et al.",JMLR
paper_0038,FlashAttention: Fast and Memory-Efficient Exact Attention — Extended Study 35,FlashAttention: Fast and Memory-Efficient Exact Attention. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Information Retrieval,8575,2021,"Vaswani, A. et al.",ICLR
paper_0039,FlashAttention: Fast and Memory-Efficient Exact Attention — Extended Study 70,FlashAttention: Fast and Memory-Efficient Exact Attention. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Graph ML,3707,2023,"Dao, T. et al.",Science
paper_0040,Constitutional AI: Harmlessness from AI Feedback — Extended Study 16,Constitutional AI: Harmlessness from AI Feedback. This extended study presents additional experiments and analysis. We evaluate the approach on larger benchmarks and provide theoretical insights.,Data Systems,11870,2021,"Krizhevsky, A. et al.",EMNLP
